Sample	PC1	PC2	PC3	Coverage	Age	Latitude	Longitude	Sex	Site	Species
Mon2017x174_Mon_m1145	0.0483347	-0.00223228	0.00641331	0.462643493	1195	49.31	99.85	male	site65	horse
Mon2017x176_Mon_m939	0.0509192	-0.00293927	0.00855824	0.083055389	989	49.31	99.85	female	site65	horse
Mon2017x188_Mon_m1010	0.051586	-0.00464391	0.00884703	2.578359825	1060	49.33	95.44	female	site63	horse
Mon2017x199_Mon_m865	0.052479	-0.0029826	0.00859698	1.058157831	915	46.94	98.6	female	site66	horse
Mong_KB7754_0	0.0567966	0.00152662	0.0101363		0	0	0	unknown	unknown	horse
Monx2_Mon_m1100	0.0521806	-0.00491967	0.00879915	3.912189324	1150	49.55	103.28	female	site67	horse
Monx4_Mon_m1018	0.0508485	-0.00481958	0.00801732	2.221703983	1068	49.55	103.28	male	site67	horse
Monx7_Mon_m1030	0.0510394	-0.0023252	0.00792433	2.603317071	1076	49.55	103.28	male	site67	horse
Monx9_Mon_m775	0.0505378	-0.00560621	0.00830741	2.414624941	825	49.55	103.28	female	site67	horse
NB13_Kaz_m3012	-0.0326543	0.0444585	-0.0283602	0.565808783	3062	51.52	62.55	male	site68	horse
NB15_Kaz_CA	-0.0325364	0.0446665	-0.0283814	0.183531944	3200	51.52	62.55	female	site68	horse
NB44_Rus_m1856	0.049343	-0.00443103	0.00905406	1.414511369	1906	52.49	60.19	male	site69	horse
NB45_Rus_m1865	0.0508584	-0.00449443	0.00935947	1.047327887	1915	52.49	60.19	male	site69	horse
NHr2_Slo_m1683	0.0484641	-0.00695469	0.00893226	0.948277043	1733	48.07	18.2	male	site70	horse
Nov3x10_Rus_m3443	-0.0593657	0.070153	-0.0441634	3.89322557	3493	53.55	79.35	female	site71	horse
Nov3x7_Rus_m3451	-0.0513468	0.0620329	-0.0393551	1.46517919	3501	53.55	79.35	male	site71	horse
Nov6x11_Rus_m3217	-0.0482587	0.0591001	-0.038835	1.092546208	3267	53.55	79.35	female	site71	horse
Nov6x6_Rus_m3224	-0.0522654	0.0627786	-0.0407599	2.264177793	3274	53.55	79.35	female	site71	horse
Nov6x7_Rus_m3217	-0.0519064	0.0653296	-0.0407661	2.146202778	3267	53.55	79.35	male	site71	horse
Novoil1_Kaz_m1832	0.0517731	-0.00412407	0.00974141	3.72	1882	52.64	62.76	male	site72	horse
Novoil2_Kaz_m1832	0.0493597	-0.00432051	0.0093676	2.81	1882	52.64	62.76	female	site72	horse
P9392_UK_m12666	-0.0488921	-0.0527565	-0.00426969	1.258685724	12716	50.47	-3.5	male	site73	horse
Paratype_Mon_1899	-0.0839549	0.139696	-0.122658		0	0	0	unknown	unknown	horse
PAVH8_Kaz_m2961	-0.0565908	0.0705756	-0.0428886	3.032184465	3011	51.82	77.95	male	site74	horse
PAVH9_Kaz_m2959	-0.0606733	0.0759381	-0.0493871	3.448514197	3009	51.82	77.95	male	site74	horse
Pie13_Rom_m4425	0.00930544	-0.0234942	0.00312291	2.303687855	4475	44.07	26.16	female	site75	horse
PKo7_Kaz_m1754	0.04912	-0.00483001	0.00876117	0.641686751	1804	49.92	74.22	female	site76	horse
PLKaz1_Pol_m1550	0.0536853	-0.00417177	0.0104654	1.290547844	1600	50.27	20.47	male	site77	horse
PLKaz2_Pol_m1480	0.0522646	-0.00618634	0.0107064	3.377490925	1530	50.27	20.47	female	site77	horse
PLKaz3_Pol_m1550	0.0517222	-0.00659846	0.00919612	3.191975344	1600	50.27	20.47	female	site77	horse
PLKaz4_Pol_m1550	0.0531504	-0.00506467	0.0101345	2.353317574	1600	50.27	20.47	male	site77	horse
PLKaz5_Pol_m1550	0.0523587	-0.00579615	0.00936622	2.281612638	1600	50.27	20.47	male	site77	horse
PLKaz6_Pol_m1550	0.0534663	-0.00543204	0.00980554	2.826589938	1600	50.27	20.47	female	site77	horse
PLMie18_Pol_m1483	0.0523115	-0.00623683	0.00952975	2.074865548	1533	50.36	20.05	male	site78	horse
PLMie8_Pol_m649	0.0533892	-0.00520818	0.00917016	1.284516222	699	50.36	20.05	female	site78	horse
PLMoz11_Pol_m3505	-0.0404551	-0.0848833	-0.0227839	1.835958848	3555	50.44	20.52	male	site79	horse
PLMoz1x1_Pol_m3801	-0.0402083	-0.08289	-0.0202933	1.037239544	3851	50.44	20.52	male	site79	horse
PLPie2_Pol_m1532	0.0554012	-0.00642552	0.0108336	3.235862888	1582	50.14	20.05	male	site80	horse
PRAGUE18_Cze_m3226	-0.0499253	-0.105053	-0.0320212	2.702710634	3276	50.08	14.23	male	site81	horse
PRAGUE32_Cze_m787	0.0509267	-0.00628376	0.00926238	1.75359059	837	50.15	14.33	male	site82	horse
PRAGUE40_Cze_m2037	0.0501829	-0.00785314	0.0100869	1.941199804	2087	50.2	14.29	male	site83	horse
PRAGUE62_Cze_m1249	0.0524261	-0.00624401	0.00889139	1.78581391	1299	49.31	17.16	male	site84	horse
PRAGUE64_Cze_m1110	0.0526302	-0.00661586	0.00941958	1.418688878	1160	50.13	14.29	male	site85	horse
PRAGUE68_Cze_m1310	0.0501113	-0.00598348	0.00941284	1.572906822	1360	50.13	14.27	female	site86	horse
PRAGUE77_Cze_m624	0.0545134	-0.00485401	0.0102843	4.206730226	674	50.36	14.45	male	site87	horse
PRAGUE84_Cze_m3236	-0.0493071	-0.10791	-0.0318694	6.323676868	3286	49.19	16.68	male	site88	horse
PRAGUE9_Cze_m1845	0.0500615	-0.00801182	0.00928839	4.964448126	1895	50.17	14.72	male	site89	horse
PRAGUEx27x81_Cze_m1241	0.0548212	-0.00519374	0.0105981	7.264049724	1291	50.36	13.74	female	site90	horse
Prze_KB3879_0	-0.112574	0.203886	-0.18527		0	0	0	unknown	unknown	horse
Prze_SB293_0	-0.109686	0.199373	-0.183357		0	0	0	unknown	unknown	horse
Prze_SB339_0	-0.10137	0.190181	-0.172239		0	0	0	unknown	unknown	horse
Prze_SB533_0	-0.11315	0.205893	-0.190321		0	0	0	unknown	unknown	horse
Quar_QH070_0	0.0603988	-0.00284857	0.0115831		0	0	0	unknown	unknown	horse
Rid1_Est_m700	0.0532402	-0.0057653	0.0105082	2.755973081	750	58.46	23.03	male	site91	horse
Rid2_Est_m700	0.0517048	-0.00669907	0.0100672	1.709370007	750	58.46	23.03	male	site91	horse
ROxCASx09_Rom_m4297	0.0113753	-0.0225716	0.00302327	1.09540411	4347	44.13	26.47	male	site92	horse
ROxCASx10_Rom_m4309	0.00957481	-0.0233612	0.00229282	1.768548451	4359	44.13	26.47	female	site92	horse
